ID_number,Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem,Aggression_component,Shyness_component,Extraversion_component
2873,1.0438,2,0,SBI,4,4,1,3,3,1,1,1,1,1,1,0,1,-0.366110381,-1.105156628,-1.408774548
2874,3.1342,2,1,ORI,4,4,1,5,5,1,1,1,2,2,1,0,1,-0.468253497,0.340724428,1.454919555
2875,3.2521,1,1,SBI,4,0,1,4,5,1,1,1,1,2,3,3,1,-0.386505739,-0.407817053,0.616442319
2876,4.6027,2,1,BUR,3,4,1,5,5,1,1,2,1,1,1,0,1,0.090309407,-0.780989477,1.33044881
2877,5.8055,2,0,SBI,4,0,1,4,4,2,1,2,2,2,3,1,1,0.926377472,-0.018292935,0.115771051
2878,1.3644,2,0,BUR,3,4,1,4,5,1,1,1,1,1,1,0,1,-0.320714098,-0.923637979,0.562644532
2879,2.4712,1,0,SBI,5,0,1,5,5,2,1,2,2,3,3,1,1,0.878418622,0.682838224,1.522680168
2880,0.7616,1,0,BUR,3,4,1,5,4,1,1,1,1,1,1,0,1,-0.358008292,-0.730744578,0.679140362
2881,3.389,2,0,SBI,4,0,1,4,3,2,1,2,3,3,2,1,1,0.761005283,1.06075924,-0.345065256
2882,2.1726,1,0,NFO,6,1,0,5,4,1,1,1,2,1,2,2,1,-0.430025348,-0.171304914,0.782814018
2883,3.389,1,1,SBI,4,0,1,3,3,1,1,2,2,2,2,1,1,-0.083164871,-0.076349352,-1.218302407
2884,2.7781,1,1,MCO,6,5,1,3,3,1,1,1,2,2,2,0,1,-0.503919078,-0.029896037,-1.251303105
2885,2.2274,1,1,MCO,6,5,1,4,4,1,1,1,4,3,1,0,1,-0.69591204,1.790114451,0.362953325
2886,1.5452,2,1,MCO,6,3,1,4,4,1,1,1,1,2,1,4,1,-0.414069232,-0.404025468,-0.001865431
2887,0.7808,1,0,MCO,4,3,1,5,5,1,1,1,2,2,1,0,1,-0.468253497,0.340724428,1.454919555
2888,5.5288,2,1,NFO,4,4,0,5,5,3,2,2,3,3,3,2,1,2.984661694,0.852301843,1.578630023
2889,3.8959,2,1,NFO,4,4,0,5,5,2,2,2,2,3,2,1,1,2.064969198,0.420115995,1.493994239
2890,9.4055,1,1,TUV,6,5,0,5,5,1,1,4,1,1,1,0,1,0.931817822,-0.873896107,1.396450206
2891,5.326,1,1,SIB,4,5,1,5,5,1,1,2,3,2,1,0,1,-0.119516345,0.853710777,1.59159391
2892,2.1726,1,1,NFO,6,2,1,5,5,1,2,2,3,2,3,4,1,1.067034231,0.590988549,1.562907981
2893,0.7616,2,0,BUR,3,4,1,4,5,1,1,1,1,1,1,0,1,-0.320714098,-0.923637979,0.562644532
2894,0.7616,2,0,BUR,3,4,1,3,4,1,1,1,1,1,1,0,1,-0.338546889,-1.108948212,-0.790466798
2895,2.8767,2,1,SIB,4,5,1,4,5,1,1,1,2,1,1,0,1,-0.392731154,-0.364198316,0.666318189
2896,4.0411,1,1,SIB,4,5,1,5,5,1,1,2,2,1,1,0,1,0.018292352,-0.221549813,1.434122467
2897,0.3479,1,0,RUS,4,4,0,5,5,1,1,1,1,1,2,3,1,-0.3304448,-0.734536162,1.297448112
2898,1.9068,2,1,BUR,3,4,1,4,4,1,1,1,1,1,1,0,1,-0.348277591,-0.919846395,-0.055663218
2899,6.0438,1,1,SIB,4,3,1,4,5,1,1,4,4,1,1,0,2,0.725497356,0.615321068,0.972667596
2900,0.2767,1,0,SIB,8,5,1,5,5,1,1,1,2,2,1,0,1,-0.468253497,0.340724428,1.454919555
2901,0.2767,2,0,SIB,8,5,1,5,5,1,1,1,2,2,1,0,1,-0.468253497,0.340724428,1.454919555
2902,4.0712,2,1,SBI,4,2,1,4,4,1,1,1,2,2,1,0,1,-0.486086287,0.155414196,0.101808225
2903,4.6548,1,1,RUS,5,5,1,3,4,1,1,2,3,1,1,2,1,-0.061826793,-0.036522199,-0.550118787
2904,2.2904,1,1,HCS,4,2,1,4,4,1,1,1,1,2,1,0,1,-0.414069232,-0.404025468,-0.001865431
